username,email,full_name,joined_date
jdoe,jdoe@example.com,Jdoe,2024-05-25
asmith,asmith@example.com,Asmith,2024-05-19
bgarcia,bgarcia@example.com,Bgarcia,2024-04-20
cwu,cwu@example.com,Cwu,2024-04-30
dlee,dlee@example.com,Dlee,2024-04-28
ejohnson,ejohnson@example.com,EJohnson,2024-02-01
mkhan,mkhan@example.com,Mkhan,2024-05-26
ldiaz,ldiaz@example.com,Ldiaz,2024-02-20
sramirez,sramirez@example.com,Sramirez,2024-02-16
pmartinez,pmartinez@example.com,Pmartinez,2024-05-09
lhernandez,lhernandez@example.com,Lhernandez,2024-04-23
grivera,grivera@example.com,Grivera,2024-02-17
mvaldez,mvaldez@example.com,Mvaldez,2024-01-23
jrodriguez,jrodriguez@example.com,Jrodriguez,2024-05-14
agriego,agriego@example.com,Agriego,2024-02-07
dtorres,dtorres@example.com,Dtorres,2024-01-03
vgutierrez,vgutierrez@example.com,Vgutierrez,2024-02-01
mcontreras,mcontreras@example.com,Mcontreras,2024-03-20
cflores,cflores@example.com,Cflores,2024-02-19
jrocha,jrocha@example.com,Jrocha,2024-03-27
